question_id,typo_method,iteration,question_with_typo
0,random,0,what iu the capital of france
0,random,1,what iu thq capital of france
0,random,2,what iu thq capital ol france
0,random,3,what iu thq cypital ol france
0,random,4,what bu thq cypital ol france
0,random,5,what bu thn cypital ol france
0,random,6,what bu thn cypital ol frence
0,random,7,what bu thn cypital fl frence
0,random,8,what bu thn cypital fl fnence
0,random,9,wkat bu thn cypital fl fnence
0,random,10,wkat bu thn cypitaf fl fnence
0,random,11,wkat bu bhn cypitaf fl fnence
0,random,12,wkat bu bhn cypitaf fy fnence
0,random,13,wkat bu bhn cypitaf my fnence
0,random,14,wkat bc bhn cypitaf my fnence
0,random,15,wkat bc bhn cyhitaf my fnence
0,random,16,wkat bc bhn fyhitaf my fnence
0,random,17,wkat bc bhn fyhitaf my fnench
0,random,18,wkat bc bhn fyhitaf yy fnench
0,random,19,wkat bc bhn fyhitaf yy fcench
0,keyboard_aware,0,what is the capital kf france
0,keyboard_aware,1,what is tye capital kf france
0,keyboard_aware,2,what is tye fapital kf france
0,keyboard_aware,3,what is gye fapital kf france
0,keyboard_aware,4,what us gye fapital kf france
0,keyboard_aware,5,what us gye fapital kf framce
0,keyboard_aware,6,what us hye fapital kf framce
0,keyboard_aware,7,what ys hye fapital kf framce
0,keyboard_aware,8,what ys hye falital kf framce
0,keyboard_aware,9,what hs hye falital kf framce
0,keyboard_aware,10,what hs hye falitzl kf framce
0,keyboard_aware,11,what hs hye falitzl kf framcs
0,keyboard_aware,12,what hs hye falitzl kg framcs
0,keyboard_aware,13,what hs hge falitzl kg framcs
0,keyboard_aware,14,what hs hgd falitzl kg framcs
0,keyboard_aware,15,what hs hgd fapitzl kg framcs
0,keyboard_aware,16,what hs hgd fapital kg framcs
0,keyboard_aware,17,what hs hgd fapital kt framcs
0,keyboard_aware,18,what hs hgd fapital it framcs
0,keyboard_aware,19,what ys hgd fapital it framcs
0,random,0,what is the capital of france
0,random,1,what is the capqtal of france
0,random,2,whah is the capqtal of france
0,random,3,whah is the capqtal of prance
0,random,4,whah is the capqtal ov prance
0,random,5,whah is the capqtal ov irance
0,random,6,whah is tse capqtal ov irance
0,random,7,yhah is tse capqtal ov irance
0,random,8,yhah xs tse capqtal ov irance
0,random,9,yhah xs tse capztal ov irance
0,random,10,yhah xs use capztal ov irance
0,random,11,yhav xs use capztal ov irance
